country,sheet,first_year_proj,source_label,source_file
Congo Republic of_COG,COG_EBS.19.64_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COG_EBS.19.64, Sup. 1.xlsm"
Congo Republic of_COG,COG_EBS.22.1_Ext_Debt_Data,2021,Input 1 - Basics!C18,"COG_EBS.22.1, Sup. 1.xlsm"
Congo Republic of_COG,COG_EBS.22.50_Ext_Debt_Data,2022,Input 1 - Basics!C18,"COG_EBS.22.50, Sup. 1.xlsm"
Congo Republic of_COG,COG_EBS.23.11_Ext_Debt_Data,2022,Input 1 - Basics!C18,"COG_EBS.23.11, Sup. 1.xlsm"
Congo Republic of_COG,COG_EBS.23.145_Ext_Debt_Data,2023,Input 1 - Basics!C18,"COG_EBS.23.145, Sup. 1.xlsm"
Congo Republic of_COG,COG_EBS.23.85_Ext_Debt_Data,2023,Input 1 - Basics!C18,COG_EBS.23.85_Sup. 1.xlsm
Congo Republic of_COG,COG_SM.20.1_Ext_Debt_Data,2019,Input 1 - Basics!C18,"COG_SM.20.1, Sup. 1.xlsm"
Congo Republic of_COG,COG_SM.21.165_Ext_Debt_Data,2021,Input 1 - Basics!C18,"COG_SM.21.165, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.18.110_Ext_Debt_Data,2018,Input 1 - Basics!C18,"CIV_EBS.18.110, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.18.47_Inp_Out_Debt,2018,PV Stress!D3,"CIV_EBS.18.47, Sup. 2.xlsm"
Cote d'lvoire_CIV,CIV_EBS.19.98_Ext_Debt_Data,2019,Input 1 - Basics!C18,"CIV_EBS.19.98, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.20.172_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CIV_EBS.20.172, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.20.57_Ext_Debt_Data,2020,Input 1 - Basics!C18,"CIV_EBS.20.57, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.23.123_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CIV_EBS.23.123, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_EBS.23.50_Ext_Debt_Data,2023,Input 1 - Basics!C18,"CIV_EBS.23.50, Sup. 1.xlsm"
Cote d'lvoire_CIV,CIV_SM.21.132_Ext_Debt_Data,2021,Input 1 - Basics!C18,"CIV_SM.21.132, Sup. 2.xlsm"
Cote d'lvoire_CIV,CIV_SM.22.122_Ext_Debt_Data,2022,Input 1 - Basics!C18,"CIV_SM.22.122, Sup. 1.xlsm"
Djibouti_DJI,DJI_EBS.20.89_Ext_Debt_Data,2020,Input 1 - Basics!C18,"DJI_EBS.20.89, Sup. 1.xlsm"
Djibouti_DJI,DJI_SM.19.218_Ext_Debt_Data,2019,Input 1 - Basics!C18,"DJI_SM.19.218, Sup. 1.xlsm"
Djibouti_DJI,DJI_SM.22.30_Ext_Debt_Data,2021,Input 1 - Basics!C18,"DJI_SM.22.30, Sup. 2.xlsm"
Djibouti_DJI,DJI_SM.23.32_Ext_Debt_Data,2022,Input 1 - Basics!C18,"DJI_SM.23.32, Sup. 2.xlsm"
Dominica_DMA,DMA_EBS.20.72_Ext_Debt_Data,2019,Input 1 - Basics!C18,"DMA_EBS.20.72, Sup. 1.xlsm"
Dominica_DMA,DMA_SM.18.139_Inp_Out_Debt,2017,Output - Submit!C9,DMA_SM.18.139.xlsm
Dominica_DMA,DMA_SM.19.158_Ext_Debt_Data,2018,Input 1 - Basics!C18,"DMA_SM.19.158, Sup. 2.xlsm"
Dominica_DMA,DMA_SM.22.7_Ext_Debt_Data,2021,Input 1 - Basics!C18,"DMA_SM.22.7, Sup.2.xlsm"
Dominica_DMA,DMA_SM.23.127_Ext_Debt_Data,2022,Input 1 - Basics!C18,"DMA_SM.23.127, Sup. 1.xlsm"
Eritrea_ERI,ERI_SM.19.187_Ext_Debt_Data,2019,Input 1 - Basics!C18,"ERI_SM.19.187, Sup. 1.xlsm"
Ethiopia_ETH,ETH_EBS.19.122_Ext_Debt_Data,2020,Input 1 - Basics!C18,"ETH_EBS.19.122, Sup. 1.xlsm"
Ethiopia_ETH,ETH_EBS.20.77_Ext_Debt_Data,2020,Input 1 - Basics!C18,"ETH_EBS.20.77, Sup. 1.xlsm"
Ethiopia_ETH,ETH_SM.18.270_Ext_Debt_Data,2019,Output - Submit!C9,"ETH_SM.18.270, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.18.13_Inp_Out_Debt,2017,PV Stress!D3,"GMB_EBS.18.13, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.18.60_Inp_Out_Debt,2018,PV Stress!D3,"GMB_EBS.18.60, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.19.26_Ext_Debt_Data,2019,Input 1 - Basics!C18,"GMB_EBS.19.26, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.20.13_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GMB_EBS.20.13, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.20.197_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GMB_EBS.20.197, Sup. 1.xlsm"
Gambia_GMB,GMB_EBS.20.43_Ext_Debt_Data,2020,Input 1 - Basics!C18,"GMB_EBS.20.43, Sup. 1.xlsm"
