country,source_file,status,detail
Cote d'lvoire_CIV,"CIV_EBS.18.47, Sup. 2.xlsm",OK,CIV_EBS.18.47_Inp_Out_Debt
Cote d'lvoire_CIV,"CIV_EBS.19.98, Sup. 1.xlsm",OK,CIV_EBS.19.98_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_EBS.20.172, Sup. 1.xlsm",OK,CIV_EBS.20.172_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_EBS.20.57, Sup. 1.xlsm",OK,CIV_EBS.20.57_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_EBS.23.123, Sup. 1.xlsm",OK,CIV_EBS.23.123_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_EBS.23.50, Sup. 1.xlsm",OK,CIV_EBS.23.50_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_SM.21.132, Sup. 2.xlsm",OK,CIV_SM.21.132_Ext_Debt_Data
Cote d'lvoire_CIV,"CIV_SM.22.122, Sup. 1.xlsm",OK,CIV_SM.22.122_Ext_Debt_Data
Djibouti_DJI,"DJI_EBS.20.89, Sup. 1.xlsm",OK,DJI_EBS.20.89_Ext_Debt_Data
Djibouti_DJI,"DJI_SM.19.218, Sup. 1.xlsm",OK,DJI_SM.19.218_Ext_Debt_Data
Djibouti_DJI,"DJI_SM.22.30, Sup. 2.xlsm",OK,DJI_SM.22.30_Ext_Debt_Data
Djibouti_DJI,"DJI_SM.23.32, Sup. 2.xlsm",OK,DJI_SM.23.32_Ext_Debt_Data
Dominica_DMA,"DMA_EBS.20.72, Sup. 1.xlsm",OK,DMA_EBS.20.72_Ext_Debt_Data
Dominica_DMA,DMA_SM.18.139.xlsm,OK,DMA_SM.18.139_Inp_Out_Debt
Dominica_DMA,"DMA_SM.19.158, Sup. 2.xlsm",OK,DMA_SM.19.158_Ext_Debt_Data
Dominica_DMA,"DMA_SM.22.7, Sup.2.xlsm",OK,DMA_SM.22.7_Ext_Debt_Data
Dominica_DMA,"DMA_SM.23.127, Sup. 1.xlsm",OK,DMA_SM.23.127_Ext_Debt_Data
Eritrea_ERI,"ERI_SM.19.187, Sup. 1.xlsm",OK,ERI_SM.19.187_Ext_Debt_Data
Ethiopia_ETH,"ETH_EBS.19.122, Sup. 1.xlsm",OK,ETH_EBS.19.122_Ext_Debt_Data
Ethiopia_ETH,"ETH_EBS.20.77, Sup. 1.xlsm",OK,ETH_EBS.20.77_Ext_Debt_Data
Ethiopia_ETH,"ETH_SM.18.270, Sup. 1.xlsm",OK,ETH_SM.18.270_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.18.13, Sup. 1.xlsm",OK,GMB_EBS.18.13_Inp_Out_Debt
Gambia_GMB,"GMB_EBS.18.60, Sup. 1.xlsm",OK,GMB_EBS.18.60_Inp_Out_Debt
Gambia_GMB,"GMB_EBS.19.26, Sup. 1.xlsm",OK,GMB_EBS.19.26_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.20.13, Sup. 1.xlsm",OK,GMB_EBS.20.13_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.20.197, Sup. 1.xlsm",OK,GMB_EBS.20.197_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.20.43, Sup. 1.xlsm",OK,GMB_EBS.20.43_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.21.97, Sup. 1.xlsm",OK,GMB_EBS.21.97_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.22.105, Sup. 1.xlsm",OK,GMB_EBS.22.105_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.22.37, Sup. 1.xlsm",OK,GMB_EBS.22.37_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.23.153, Sup. 1.xlsm",OK,GMB_EBS.23.153_Ext_Debt_Data
Gambia_GMB,"GMB_EBS.23.57, Sup. 1.xlsm",OK,GMB_EBS.23.57_Ext_Debt_Data
Ghana_GHA,"GHA_EBS.18.29, Sup. 1.xlsm",OK,GHA_EBS.18.29_Inp_Out_Debt
Ghana_GHA,"GHA_EBS.19.10, Sup. 1.xlsm",OK,GHA_EBS.19.10_Ext_Debt_Data
Ghana_GHA,GHA_EBS.20.38.xlsm,OK,GHA_EBS.20.38_Ext_Debt_Data
Ghana_GHA,"GHA_EBS.23.151,Sup. 1.xlsm",OK,GHA_EBS.23.151_Ext_Debt_Data
Ghana_GHA,"GHA_EBS.23.47, Sup. 1.xlsm",OK,GHA_EBS.23.47_Ext_Debt_Data
Ghana_GHA,"GHA_SM.19.264, Sup. 1.xlsm",OK,GHA_SM.19.264_Ext_Debt_Data
Ghana_GHA,"GHA_SM.21.128, Sup. 2.xlsm",OK,GHA_SM.21.128_Ext_Debt_Data
Grenada_GRD,"GRD_EBS.20.70, Sup. 1.xlsm",OK,GRD_EBS.20.70_Ext_Debt_Data
Grenada_GRD,"GRD_SM.18.183, Sup. 2.xlsm",OK,GRD_SM.18.183_Inp_Out_Debt
Grenada_GRD,"GRD_SM.19.123, Sup. 2.xlsm",OK,GRD_SM.19.123_Ext_Debt_Data
Grenada_GRD,"GRD_SM.22.84, Sup. 2.xlsm",OK,GRD_SM.22.84_Ext_Debt_Data
Grenada_GRD,"GRD_SM.23.158, Sup. 2.xlsm",OK,GRD_SM.23.158_Ext_Debt_Data
Guinea-Bissau_GNB,"GNB_EBS.18.40, Sup. 1.XLSM",OK,GNB_EBS.18.40_Inp_Out_Debt
Guinea-Bissau_GNB,GNB_EBS.21.3 Sup. 2.xlsm,OK,GNB_EBS.21.3_Ext_Debt_Data
Guinea-Bissau_GNB,"GNB_EBS.21.75, Sup. 1.xlsm",OK,GNB_EBS.21.75_Ext_Debt_Data
Guinea-Bissau_GNB,"GNB_EBS.22.41, Sup. 1.xlsm",OK,GNB_EBS.22.41_Ext_Debt_Data
Guinea-Bissau_GNB,"GNB_EBS.23.119, Sup. 1.xlsm",OK,GNB_EBS.23.119_Ext_Debt_Data
Guinea-Bissau_GNB,"GNB_EBS.23.7, Sup. 1.xlsm",OK,GNB_EBS.23.7_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.18.121, Sup. 1.xlsm",OK,GIN_EBS.18.121_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.18.52, Sup. 2.xlsm",OK,GIN_EBS.18.52_Inp_Out_Debt
Guinea_GIN,"GIN_EBS.19.72, Sup. 1.xlsm",OK,GIN_EBS.19.72_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.20.116, Sup. 1.xlsm",OK,GIN_EBS.20.116_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.20.175, Sup. 1.xlsm",OK,GIN_EBS.20.175_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.20.22, Sup. 1.xlsm",OK,GIN_EBS.20.22_Ext_Debt_Data
Guinea_GIN,"GIN_EBS.22.119, Sup. 1.xlsm",OK,GIN_EBS.22.119_Ext_Debt_Data
Guinea_GIN,"GIN_SM.21.89, Sup. 1.xlsm",OK,GIN_SM.21.89_Ext_Debt_Data
Guyana_GUY,"GUY_SM.18.134, Sup. 2.xlsm",OK,GUY_SM.18.134_Inp_Out_Debt
Guyana_GUY,"GUY_SM.19.199, Sup. 2.xlsm",OK,GUY_SM.19.199_Ext_Debt_Data
Guyana_GUY,"GUY_SM.22.195, Sup. 2.xlsm",OK,GUY_SM.22.195_Ext_Debt_Data
Guyana_GUY,"GUY_SM.23.219, Sup. 2.xlsm",OK,GUY_SM.23.219_Ext_Debt_Data
Haiti_HTI,"HTI_EBS.20.55, Sup. 1.xlsm",OK,HTI_EBS.20.55_Ext_Debt_Data
